gender,age_group,run,patients,patients_with_ddi
Female,15-19,63,299495,3634
Female,15-19,64,299495,12907
Female,15-19,65,299495,4358
Female,15-19,66,299495,725
Female,15-19,67,299495,10462
Female,15-19,68,299495,27451
Female,15-19,69,299495,5590
Female,15-19,70,299495,5159
Female,15-19,71,299495,5763
Female,15-19,72,299495,4921
Female,15-19,73,299495,16719
Female,15-19,74,299495,6005
Female,15-19,75,299495,11706
Female,15-19,76,299495,4797
Female,15-19,77,299495,4917
Female,15-19,78,299495,2427
Female,15-19,79,299495,1352
Female,15-19,80,299495,4910
Female,15-19,81,299495,9694
Female,15-19,82,299495,9619
Female,15-19,83,299495,9512
Female,15-19,84,299495,2474
Female,15-19,85,299495,48187
Female,15-19,86,299495,4644
Female,15-19,87,299495,4799
Female,15-19,88,299495,5025
Female,15-19,89,299495,2404
Female,15-19,90,299495,940
Female,15-19,91,299495,5348
Female,15-19,92,299495,27778
Female,15-19,93,299495,1281
Female,15-19,94,299495,2784
Female,15-19,95,299495,9830
Female,15-19,96,299495,2667
Female,15-19,97,299495,1509
Female,15-19,98,299495,4641
Female,15-19,99,299495,1118
Female,15-19,100,299495,2559
Female,20-24,1,358201,8370
Female,20-24,2,358201,76680
Female,20-24,3,358201,19455
Female,20-24,4,358201,22196
Female,20-24,5,358201,3100
Female,20-24,6,358201,7930
Female,20-24,7,358201,15396
Female,20-24,8,358201,4156
Female,20-24,9,358201,4917
Female,20-24,10,358201,4625
Female,20-24,11,358201,5932
Female,20-24,12,358201,6275
Female,20-24,13,358201,4110
Female,20-24,14,358201,7951
Female,20-24,15,358201,13073
Female,20-24,16,358201,5253
Female,20-24,17,358201,2666
Female,20-24,18,358201,2702
Female,20-24,19,358201,9423
Female,20-24,20,358201,2439
Female,20-24,21,358201,8050
Female,20-24,22,358201,4465
Female,20-24,23,358201,16805
Female,20-24,24,358201,4823
Female,20-24,25,358201,12105
Female,20-24,26,358201,9274
Female,20-24,27,358201,10655
Female,20-24,28,358201,3105
Female,20-24,29,358201,46203
Female,20-24,30,358201,4527
Female,20-24,31,358201,7586
Female,20-24,32,358201,3115
Female,20-24,33,358201,20308
Female,20-24,34,358201,2633
Female,20-24,35,358201,4521
Female,20-24,36,358201,3228
Female,20-24,37,358201,6795
Female,20-24,38,358201,1868
Female,20-24,39,358201,3128
Female,20-24,40,358201,10484
Female,20-24,41,358201,14703
Female,20-24,42,358201,4628
Female,20-24,43,358201,10255
Female,20-24,44,358201,11103
Female,20-24,45,358201,2161
Female,20-24,46,358201,8578
Female,20-24,47,358201,7708
Female,20-24,48,358201,7124
Female,20-24,49,358201,10498
Female,20-24,50,358201,3218
Female,20-24,51,358201,9320
Female,20-24,52,358201,2359
Female,20-24,53,358201,2712
Female,20-24,54,358201,3889
Female,20-24,55,358201,4421
Female,20-24,56,358201,3328
Female,20-24,57,358201,4305
Female,20-24,58,358201,10504
Female,20-24,59,358201,2247
Female,20-24,60,358201,14453
Female,20-24,61,358201,11935
Female,20-24,62,358201,7654
Female,20-24,63,358201,7490
Female,20-24,64,358201,17035
Female,20-24,65,358201,5752
Female,20-24,66,358201,1216
Female,20-24,67,358201,12701
Female,20-24,68,358201,33776
Female,20-24,69,358201,10849
Female,20-24,70,358201,8488
Female,20-24,71,358201,8157
Female,20-24,72,358201,8174
Female,20-24,73,358201,24513
Female,20-24,74,358201,9458
Female,20-24,75,358201,19944
Female,20-24,76,358201,9636
Female,20-24,77,358201,8043
Female,20-24,78,358201,3171
Female,20-24,79,358201,2412
Female,20-24,80,358201,6818
Female,20-24,81,358201,15573
Female,20-24,82,358201,11192
Female,20-24,83,358201,12578
Female,20-24,84,358201,4839
Female,20-24,85,358201,51342
Female,20-24,86,358201,8129
Female,20-24,87,358201,6855
Female,20-24,88,358201,6898
Female,20-24,89,358201,3394
Female,20-24,90,358201,1415
Female,20-24,91,358201,7244
Female,20-24,92,358201,34954
Female,20-24,93,358201,2309
Female,20-24,94,358201,5255
Female,20-24,95,358201,12628
Female,20-24,96,358201,4400
Female,20-24,97,358201,2247
Female,20-24,98,358201,7756
Female,20-24,99,358201,2019
Female,20-24,100,358201,3654
Female,25-29,1,450100,10976
Female,25-29,2,450100,85525
Female,25-29,3,450100,17780
Female,25-29,4,450100,28121
Female,25-29,5,450100,4097
Female,25-29,6,450100,11086
Female,25-29,7,450100,22234
Female,25-29,8,450100,5906
Female,25-29,9,450100,8658
Female,25-29,10,450100,7034
Female,25-29,11,450100,8762
Female,25-29,12,450100,8626
Female,25-29,13,450100,6155
Female,25-29,14,450100,11106
Female,25-29,15,450100,16468
Female,25-29,16,450100,8018
Female,25-29,17,450100,4066
Female,25-29,18,450100,4072
Female,25-29,19,450100,13323
Female,25-29,20,450100,3657
Female,25-29,21,450100,12337
Female,25-29,22,450100,6526
Female,25-29,23,450100,21366
Female,25-29,24,450100,6861
Female,25-29,25,450100,15353
Female,25-29,26,450100,12072
Female,25-29,27,450100,13453
Female,25-29,28,450100,5023
Female,25-29,29,450100,52380
Female,25-29,30,450100,5977
Female,25-29,31,450100,11074
Female,25-29,32,450100,4313
Female,25-29,33,450100,28898
Female,25-29,34,450100,3786
Female,25-29,35,450100,6373
Female,25-29,36,450100,4808
Female,25-29,37,450100,9348
Female,25-29,38,450100,2774
Female,25-29,39,450100,5441
Female,25-29,40,450100,13518
Female,25-29,41,450100,17900
Female,25-29,42,450100,6584
Female,25-29,43,450100,16554
Female,25-29,44,450100,12491
Female,25-29,45,450100,3242
Female,25-29,46,450100,11316
Female,25-29,47,450100,12213
Female,25-29,48,450100,8489
Female,25-29,49,450100,14521
Female,25-29,50,450100,5050
Female,25-29,51,450100,11721
Female,25-29,52,450100,3563
Female,25-29,53,450100,3978
Female,25-29,54,450100,5584
Female,25-29,55,450100,5829
Female,25-29,56,450100,4427
Female,25-29,57,450100,6616
Female,25-29,58,450100,14641
Female,25-29,59,450100,3383
Female,25-29,60,450100,19835
Female,25-29,61,450100,17067
Female,25-29,62,450100,9947
Female,25-29,63,450100,10040
Female,25-29,64,450100,22925
Female,25-29,65,450100,7673
Female,25-29,66,450100,1924
Female,25-29,67,450100,16241
Female,25-29,68,450100,43161
Female,25-29,69,450100,16244
